name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Blautia wexlerae	418240	S	10245390	2427517	12672907	0.41508
Blautia obeum	40520	S	465562	60799	526361	0.01724
Blautia luti	89014	S	169341	26106	195447	0.00640
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	53269	109616	162885	0.00533
Blautia sp. SC05B48	2479767	S	29014	17652	46666	0.00153
Blautia producta	33035	S	8264	436	8700	0.00028
Blautia hydrogenotrophica	53443	S	4825	183	5008	0.00016
Blautia hansenii	1322	S	1924	198	2122	0.00007
Blautia pseudococcoides	1796616	S	1808	75	1883	0.00006
Blautia parvula	2877527	S	1753	153	1906	0.00006
Blautia argi	1912897	S	1474	119	1593	0.00005
Blautia liquoris	2779518	S	905	9	914	0.00003
Anaerostipes hadrus	649756	S	1746635	69394	1816029	0.05948
Anaerostipes caccae	105841	S	2468	95	2563	0.00008
Anaerostipes rhamnosivorans	1229621	S	302	7	309	0.00001
Anaerostipes sp. PC18	3036926	S	213	14	227	0.00001
Anaerobutyricum hallii	39488	S	1500629	321956	1822585	0.05970
Mediterraneibacter gnavus	33038	S	145640	18191	163831	0.00537
[Ruminococcus] torques	33039	S	103775	64087	167862	0.00550
Mediterraneibacter faecis	592978	S	26767	15709	42476	0.00139
[Ruminococcus] lactaris	46228	S	11466	555	12021	0.00039
Mediterraneibacter glycyrrhizinilyticus	342942	S	2268	147	2415	0.00008
Roseburia faecis	301302	S	232202	17253	249455	0.00817
Roseburia intestinalis	166486	S	30486	11898	42384	0.00139
Roseburia hominis	301301	S	22477	1640	24117	0.00079
Roseburia rectibacter	2763062	S	13632	2434	16066	0.00053
Roseburia sp. 499	1261634	S	2287	48	2335	0.00008
Roseburia sp. 831b	1261635	S	1422	32	1454	0.00005
Agathobacter rectalis	39491	S	208264	21441	229705	0.00752
Jutongia sp. SJQ-6	3445972	S	175961	3405	179366	0.00587
Dorea longicatena	88431	S	83962	24098	108060	0.00354
Dorea formicigenerans	39486	S	41025	4504	45529	0.00149
Dorea amylophila	2981789	S	12226	8018	20244	0.00066
Allocoprococcus comes	410072	S	146762	14589	161351	0.00528
Lachnospira eligens	39485	S	98647	2551	101198	0.00331
Simiaoa sunii	2763672	S	71606	3798	75404	0.00247
Enterocloster clostridioformis	1531	S	15953	1177	17130	0.00056
Enterocloster bolteae	208479	S	5828	264	6092	0.00020
Enterocloster asparagiformis	333367	S	1110	66	1176	0.00004
Enterocloster lavalensis	460384	S	527	45	572	0.00002
[Clostridium] scindens	29347	S	12376	443	12819	0.00042
[Clostridium] hylemonae	89153	S	865	23	888	0.00003
Lachnoclostridium phytofermentans	66219	S	237	0	237	0.00001
Coprococcus sp. ART55/1	751585	S	9053	500	9553	0.00031
Coprococcus eutactus	33043	S	2392	3689	6081	0.00020
Sellimonas catena	2994035	S	4414	385	4799	0.00016
Sellimonas intestinalis	1653434	S	4288	151	4439	0.00015
Sellimonas caecigallum	2592333	S	902	23	925	0.00003
Hungatella hathewayi	154046	S	4616	540	5156	0.00017
Hungatella sp. SB206	2937758	S	2595	409	3004	0.00010
Wansuia hejianensis	2763667	S	7765	99	7864	0.00026
Eshraghiella crossota	45851	S	5209	256	5465	0.00018
Eisenbergiella porci	2652274	S	4458	144	4602	0.00015
Lacrimispora saccharolytica	84030	S	800	150	950	0.00003
Lacrimispora sp. BS-2	3151850	S	415	110	525	0.00002
Lacrimispora sp. HJ-01	3375704	S	304	132	436	0.00001
Lacrimispora xylanisolvens	384636	S	416	24	440	0.00001
Lacrimispora xylanolytica	29375	S	313	20	333	0.00001
Lacrimispora sinapis	3111456	S	191	18	209	0.00001
Lacrimispora sphenoides	29370	S	99	51	150	0.00000
Wujia chipingensis	2763670	S	2753	206	2959	0.00010
Marvinbryantia formatexigens	168384	S	1875	28	1903	0.00006
Claveliimonas bilis	3028070	S	1751	39	1790	0.00006
Butyrivibrio fibrisolvens	831	S	523	19	542	0.00002
Butyrivibrio sp. JL13D10	3236815	S	483	31	514	0.00002
Butyrivibrio proteoclasticus	43305	S	333	26	359	0.00001
Butyrivibrio hungatei	185008	S	273	18	291	0.00001
Faecalimonas umbilicata	1912855	S	1695	141	1836	0.00006
[Clostridium] symbiosum	1512	S	1630	53	1683	0.00006
Anaerocolumna sp. MB42-C2	3070997	S	312	79	391	0.00001
Anaerocolumna sp. AGMB13020	3081750	S	311	19	330	0.00001
Anaerocolumna sp. AGMB13025	3039116	S	204	24	228	0.00001
Anaerocolumna sedimenticola	2696063	S	234	52	286	0.00001
Anaerocolumna chitinilytica	1727145	S	187	6	193	0.00001
Anaerocolumna cellulosilytica	433286	S	170	5	175	0.00001
Pseudobutyrivibrio xylanivorans	185007	S	750	28	778	0.00003
Pseudobutyrivibrio ruminis	46206	S	339	19	358	0.00001
Qiania dongpingensis	2763669	S	744	13	757	0.00002
Lachnoanaerobaculum gingivalis	2490855	S	392	103	495	0.00002
Lachnoanaerobaculum umeaense	617123	S	96	26	122	0.00000
Novisyntrophococcus fermenticellae	2068655	S	570	8	578	0.00002
Herbinix luporum	1679721	S	564	11	575	0.00002
Kineothrix sp. MB12-C1	3070215	S	277	5	282	0.00001
Kineothrix sedimenti	3123317	S	256	5	261	0.00001
Stomatobaculum sp. F0698	3059030	S	529	3	532	0.00002
Chordicoccus furentiruminis	2709410	S	397	2	399	0.00001
