"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Alistipes putredinis",2013212,2332,542479,126716,10120,310489
"Alistipes onderdonkii",1292775,636340,489158,1869,134693,40703
"Alistipes communis",276711,33836,142333,21379,17136,66161
"Alistipes finegoldii",277207,10416,22907,52090,40568,15904
"Alistipes dispar",98237,38031,24199,519,466,1432
"Alistipes ihumii",81022,92,25995,2878,10658,10425
"Alistipes sp. i18-0019-D1",62460,102373,3388,1006,391,1062
"Alistipes sp. dk3624",300,75,7431,62,9994,101
"Alistipes senegalensis",56730,1557,95190,20032,31159,11853
"Alistipes shahii",55595,17368,218032,43408,9685,76487
"uncultured Alistipes sp.",30352,2444,15660,941,4174,1944
"Alistipes indistinctus",6156,2340,2835,2268,1096,10503
"uncultured Acetobacteroides sp.",106,0,159,0,37,0
"Bacteroides uniformis",612155,194771,869230,209622,635184,127113
"Bacteroides eggerthii",381298,784,343888,244,2536,401
"Bacteroides thetaiotaomicron",154368,34265,56810,44354,202775,40083
"Bacteroides xylanisolvens",342519,241370,105621,13078,83518,17307
"Bacteroides fragilis",78460,71373,30571,37528,34559,5709
"Bacteroides caccae",58023,214748,136292,42286,79627,155471
"Bacteroides hominis",160275,19137,37153,3130,15267,8158
"Bacteroides ovatus",62892,46414,293529,42899,106014,141539
"Bacteroides stercoris",27213,432652,755044,3263,140644,3126
"Bacteroides sp. DH3716P",33967,42176,1263,745,5280,1693
"Bacteroides sp. A1C1",11156,16431,30050,5021,18651,1272
"Bacteroides sp. HF-162",13453,11201,11121,2107,15096,5283
"Bacteroides sp. CACC 737",2284,20207,8318,1457,5943,1995
"Bacteroides sp. D2",506,2162,574,3443,969,4513
"Bacteroides sp. M10",224,4229,705,3738,882,9501
"Bacteroides sp. PHL 2737",24444,0,4482,0,0,0
"Bacteroides sp. KG123",2676,0,4177,0,0,0
"Bacteroides parvus",48694,8902,15659,3005,27034,409
"Bacteroides salyersiae",3926,2251,11763,27178,106229,1862
"Bacteroides nordii",3622,1784,1326,74,1187,3585
"Bacteroides zhangwenhongii",6045,74086,18767,801,8773,6059
"Bacteroides pyogenes",3164,584,3874,204,204,258
"Bacteroides caecimuris",3931,9635,9781,173,5497,1095
"Bacteroides cellulosilyticus",3580,591,37806,177,8718,4333
"Bacteroides faecis",2721,8820,162355,1650,2636,846
"Bacteroides difficilis",3615,46713,1125,217,5329,949
"Bacteroides zoogleoformans",2141,245,2866,122,241,130
"Bacteroides intestinalis",1857,337,13980,105,86850,151
"Bacteroides helcogenes",1549,310,1994,59,312,79
"Bacteroides maternus",1799,216,3566,278,3534,142
"Bacteroides finegoldii",1492,60852,2450,387,7982,461
"Bacteroides faecium",526,1820,1663,356,517,291
"Bacteroides celer",819,2008,1706,1131,1596,2111
"Bacteroides luhongzhouii",470,1828,427,218,652,457
"Prevotella heparinolytica",295,167,1343,48,165,12
"Bacteroides graminisolvens",184,167,713,12,31,40
"Bacteroides mucinivorans",201,1641,595,93,133,334
